Rank,Symbol,Company Name,Quant,SA Authors,Wall St.,Market Cap,Div Yield,Valuation,Growth,Profitability,Momentum,EPS Rev.
262,GOOG,Alphabet Inc.,4.64,3.66,4.52,1.31E+12,0.00%,D+,C,A+,C+,C
263,KRKR,36Kr Holdings Inc.,4.63,0,5,41835024,0.00%,A-,B,B+,B+,A
264,IRMD,IRadimed Corporation,4.63,4,4,475520928,0.00%,D,B,A,A-,A
265,ISBA,Isabella Bank Corporation,4.63,0,4,167182208,4.93%,B,B+,D,B,A+
266,GOOGL,Alphabet Inc.,4.63,3.75,4.52,1.31E+12,0.00%,D+,C-,A+,C+,C
267,APELY,Alps Alpine Co.| Ltd.,4.63,4,2,1958403970,2.35%,A,B,B,C+,A
268,BIDU,Baidu| Inc.,4.63,4,4.43,50739327000,0.00%,C+,B-,B+,A-,A-
269,ARKAY,Arkema S.A.,4.63,4,5,7041359900,3.38%,B,C,B+,B,A
270,LSAK,Lesaka Technologies| Inc.,4.62,5,5,256598000,0.00%,B-,B+,C-,B+,A
271,KNBWY,Kirin Holdings Company| Limited,4.62,0,5,12731028500,3.24%,B-,A,B-,C+,A-
272,GLYC,GlycoMimetics| Inc.,4.62,4,4.66,73393520,0.00%,C+,C-,D+,A+,B+
273,FYBR,Frontier Communications Parent| Inc.,4.62,3,4.5,5648172000,0.00%,B-,C+,C+,B,A
274,LCNB,LCNB Corp.,4.62,4,3,186910064,4.94%,B,B+,D,B,A
275,SPKKY,Spark New Zealand Limited,4.62,0,3,5698945500,5.07%,B-,B,A-,B,A
276,AFLYY,Air France-KLM SA,4.62,4,2,4305960400,0.00%,A+,C+,A+,C-,A
277,WRDLY,Worldline SA,4.61,0,5,11403630600,0.00%,B,A-,A+,B-,A
278,FLGT,Fulgent Genetics| Inc.,4.61,3,3.66,910360130,0.00%,A+,B-,A+,C,A+
279,TCMD,Tactile Systems Technology| Inc.,4.61,0,4.75,329888800,0.00%,D,B+,A-,A+,C
280,X,United States Steel Corporation,4.61,4,3,5445898200,0.83%,A,C-,A,B+,A-
281,ARLO,Arlo Technologies| Inc.,4.61,4,4.33,517003552,0.00%,C+,C+,D,A-,A+
282,CNM,Core & Main| Inc.,4.61,4,3.75,5185523700,0.00%,B-,A-,C+,C,A+
283,PBAM,Private Bancorp of America| Inc.,4.61,0,4.5,158362400,0.00%,C+,C+,D,B+,A+
284,AMR,Alpha Metallurgical Resources| Inc.,4.6,4.5,4.33,2188920580,1.11%,A+,A,A+,A-,B+
285,FSBW,FS Bancorp| Inc.,4.6,4,3.66,226763856,2.86%,B-,B,C-,B,A+
286,FFBC,First Financial Bancorp.,4.6,4,3,2038834300,4.28%,C+,B,C,B,A
287,HCC,Warrior Met Coal| Inc.,4.6,4,3.71,1724471300,0.93%,A,A+,A,B,A-
288,ENVA,Enova International| Inc.,4.6,3,4.2,1320121600,0.00%,B-,C,B-,A+,A-
289,CALB,California BanCorp,4.6,0,4,166649584,0.00%,C+,A,D+,B,A
290,CVCY,Central Valley Community Bancorp,4.6,0,3.6,246265952,2.29%,D,C,D+,A,A+
291,JRONY,Jer¢nimo Martins| SGPS| S.A.,4.6,0,3,13725426700,3.78%,B-,C-,B+,B-,A+
292,AAOI,Applied Optoelectronics| Inc.,4.59,4,3.66,68564648,0.00%,A,C,D+,B,A
293,IDCC,InterDigital| Inc.,4.59,3,4,2153603330,1.93%,C,B+,B-,A+,B+
294,SSEZY,SSE plc,4.59,4,5,22176987100,4.97%,B-,C,C+,B,A
295,UHOIF,Ushio Inc.,4.59,3,5,1393561860,3.48%,B+,A-,C+,C,A+
296,WAFD,Washington Federal| Inc.,4.59,3,4,1970964100,3.22%,C,B,C+,B+,A
297,GVA,Granite Construction Incorporated,4.59,4,4,1751531260,1.30%,C-,A+,C+,A,B+
298,FROG,JFrog Ltd.,4.59,3,4.16,1851471870,0.00%,C-,A+,C+,C-,A+
299,HGV,Hilton Grand Vacations Inc.,4.58,4,4,4764235300,0.00%,C+,C+,A-,B-,A+
300,THR,Thermon Group Holdings| Inc.,4.58,3,5,799059900,0.00%,B-,A+,B-,A+,C+
301,FUN,Cedar Fair| L.P.,4.58,3.5,4.5,2274562560,2.05%,C-,B,A,B-,A
302,EDAP,EDAP TMS S.A.,4.58,4,4.5,362438240,0.00%,D+,B+,A-,A,A-
303,CLW,Clearwater Paper Corporation,4.58,4,3,544090240,0.00%,B,A,C+,C+,A
304,OMRNY,OMRON Corporation,4.58,0,3,11093247000,1.26%,D,C-,B,B,A+
305,DAL,Delta Air Lines| Inc.,4.58,4.4,4.7,21032798200,0.00%,B+,A-,A+,C+,A-
306,TPR,Tapestry| Inc.,4.57,3,4.12,9655493600,2.81%,C-,C,B+,A-,A
307,UBER,Uber Technologies| Inc.,4.57,4.08,4.44,63874851000,0.00%,D,B-,D,A-,B+
308,RES,RPC| Inc.,4.57,4,3.2,1636881020,1.05%,D,A+,C+,C+,A
309,AX,Axos Financial| Inc.,4.57,0,4.16,2254826750,0.00%,C-,B,C+,B,A
310,WFC,Wells Fargo & Company,4.57,3.57,4.19,1.43E+11,3.05%,C,B+,A+,C+,C
311,FSTX,F-star Therapeutics| Inc.,4.57,2,3,156511264,0.00%,B-,C-,D,A+,C+
312,HUIZ,Huize Holding Limited,4.57,0,5,60131960,0.00%,C+,A,C,A+,B+
313,CLMB,Climb Global Solutions| Inc.,4.57,4,4,210636816,1.42%,C-,A-,B-,A+,B-
314,RLX,RLX Technology Inc.,4.56,5,5,3823293180,0.00%,C+,A-,C,A+,B-
315,RICOY,Ricoh Company| Ltd.,4.56,0,3,4466771500,3.07%,A,B+,B-,C,A
316,EXLS,ExlService Holdings| Inc.,4.56,4,4,5064028700,0.00%,D+,B,B+,B-,A+
317,SMFKY,Smurfit Kappa Group Plc,4.56,3,5,8821764100,3.85%,B,C-,B+,C+,A
318,ARCH,Arch Resources| Inc.,4.56,4,4.8,2329413120,0.75%,A,A-,A-,B-,A-
319,XPOF,Xponential Fitness| Inc.,4.56,4,4.72,1332778110,0.00%,A-,A+,B,A+,C
320,RPHM,Reneo Pharmaceuticals| Inc.,4.56,0,4.66,140064272,0.00%,B+,C,C,A+,B
321,PAGP,Plains GP Holdings| L.P.,4.55,4.33,4.23,2959625730,0.00%,B,A-,C+,B+,A-
322,SPLK,Splunk Inc.,4.55,4,4,14593855500,0.00%,C+,A+,B-,C+,A-
323,STNE,StoneCo Ltd.,4.55,4.33,3.42,2784057600,0.00%,A+,A+,A+,B,B-
324,RBCAA,Republic Bancorp| Inc.,4.55,0,3.5,802090180,3.44%,C,C+,C,B-,A+
325,FISV,Fiserv| Inc.,4.55,4,4.02,67944428000,0.00%,C+,C-,A+,A-,B
326,TMHC,Taylor Morrison Home Corporation,4.55,4,3.57,3850016260,0.00%,A,C+,A,A,B
327,GSL,Global Ship Lease| Inc.,4.55,3.75,5,660061890,8.18%,A+,B-,A+,C,A-
328,DRI,Darden Restaurants| Inc.,4.54,3,4.06,18073235500,3.19%,D,C,A-,A-,A-
329,VRTV,Veritiv Corporation,4.54,4,5,1608929540,1.06%,B,B-,B+,C+,A
330,PRO,PROS Holdings| Inc.,4.54,3,4.57,1196365950,0.00%,C+,C,D+,B,A+
331,APOG,Apogee Enterprises| Inc.,4.54,4,3.2,884557120,2.26%,C+,B+,B-,C,A+
332,GNFT,Genfit S.A.,4.54,4,3.66,202815872,0.00%,A+,A,A+,A-,C+
333,EEFT,Euronet Worldwide| Inc.,4.54,4,4,5185908700,0.00%,B-,C,B,B,A-
334,FUJIY,FUJIFILM Holdings Corporation,4.54,0,3,20286478300,1.75%,B-,A-,B-,C,A-
335,SVRA,Savara Inc.,4.53,2,4.6,231509328,0.00%,C,B,D,A+,C+
336,LTH,Life Time Group Holdings| Inc.,4.53,3,3.9,3136144640,0.00%,C-,A,D,A+,A-
337,CELH,Celsius Holdings| Inc.,4.53,3.5,4.5,6426502100,0.00%,D+,A+,D+,A,B
338,IGIFF,IGM Financial Inc.,4.53,0,3.44,7018189800,5.81%,B-,C,A+,B+,A-
339,SEMR,Semrush Holdings| Inc.,4.53,4,3.42,1212611710,0.00%,D,A+,C-,C+,A
340,SEAS,SeaWorld Entertainment| Inc.,4.53,4,4.44,3662582020,0.00%,C,C-,A,B-,A
341,CZNC,Citizens & Northern Corporation,4.53,0,3,332423136,5.24%,B-,C,D,C+,A+
342,SSREY,Swiss Re AG,4.53,3,5,27434989600,6.54%,A-,A+,A,A,B-
343,TIG,Trean Insurance Group| Inc.,4.52,0,3,312040736,0.00%,D+,A+,C+,A+,C
344,PHM,PulteGroup| Inc.,4.52,3.5,4,12502573100,1.12%,C+,C-,A-,A,B+
345,TCFC,The Community Financial Corporation,4.52,0,3,196431216,2.02%,D+,B,C-,B-,A+
346,SGIOY,Shionogi & Co.| Ltd.,4.52,5,5,13242370000,1.99%,C+,A+,A+,C+,A+
347,RBBN,Ribbon Communications Inc.,4.52,4,4.5,608605500,0.00%,B+,A+,C-,A,B+
348,TITN,Titan Machinery Inc.,4.52,4,4.6,675325760,0.00%,A-,B,C-,A+,B+
349,VCTR,Victory Capital Holdings| Inc.,4.52,4,3.36,2003696000,3.61%,C-,C+,A-,A-,A-
350,OVID,Ovid Therapeutics Inc.,4.51,0,4.5,159310816,0.00%,B,A,C+,B,A+
351,BELFB,Bel Fuse Inc.,4.51,3,4.5,414569152,0.86%,B-,B-,B,A+,C+
352,CX,CEMEX| S.A.B. de C.V.,4.51,4,4.05,7021767200,0.00%,B+,C+,B,A,C+
353,ARLP,Alliance Resource Partners| L.P.,4.51,3,5,2398966530,10.34%,A+,A-,B-,B-,A-
354,UBS,UBS Group AG,4.51,4,3,57396433000,1.37%,D,C+,A+,A,B+
355,KUBTY,Kubota Corporation,4.51,3.5,2,17388142600,2.25%,C,C,C-,C-,A+
356,NOK,Nokia Oyj,4.51,4,4,25317027800,0.91%,A-,B-,A-,C,B+
357,BUD,Anheuser-Busch InBev SA/NV,4.5,3.75,3.55,1.19E+11,0.88%,D,C-,A+,B+,C+
358,FDUS,Fidus Investment,4.5,4,4.16,-,7.64%,A,C-,A-,A-,B+
359,MNSB,MainStreet Bancshares| Inc.,4.5,0,5,169679424,1.27%,D,B,C-,B-,A+
360,MESA,Mesa Air Group| Inc.,4.5,3.66,2.75,95776296,0.00%,A,B+,D,A,B+
361,BOWL,Bowlero Corp.,4.5,4,4.5,2499460860,0.00%,C-,A+,B-,A+,C+
362,BNTX,BioNTech SE,4.5,4.5,3.81,31505010700,0.00%,A,A+,A+,C+,B-
363,CLX,The Clorox Company,4.5,3.33,2.47,19021602800,3.05%,D,B,B+,A,B+
364,MGNX,MacroGenics| Inc.,4.5,3,4,411226464,0.00%,C,C+,C-,A+,B
